#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=170 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:45.39 aq:40.99 tex:42724 mv:11965 misc:111 imb:920 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:46.64 aq:42.82 tex:1331 mv:2707 misc:930 imb:44 pmb:281 smb:595 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:46.64 aq:48.15 tex:136 mv:76 misc:220 imb:0 pmb:17 smb:903 d:t ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:46.64 aq:50.91 tex:61 mv:48 misc:187 imb:0 pmb:10 smb:910 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:46.64 aq:50.56 tex:58 mv:24 misc:166 imb:0 pmb:5 smb:915 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:46.46 aq:43.20 tex:1706 mv:2259 misc:875 imb:32 pmb:240 smb:648 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:46.55 aq:46.43 tex:1054 mv:3688 misc:706 imb:38 pmb:441 smb:441 d:s ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:46.59 aq:50.89 tex:85 mv:217 misc:330 imb:0 pmb:45 smb:875 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:46.51 aq:48.87 tex:535 mv:1110 misc:595 imb:12 pmb:126 smb:782 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:50.46 aq:48.16 tex:1064 mv:1825 misc:775 imb:37 pmb:180 smb:703 d:s ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:48.46 aq:49.64 tex:164 mv:362 misc:322 imb:0 pmb:35 smb:885 d:t ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:47.46 aq:50.55 tex:52 mv:65 misc:163 imb:0 pmb:8 smb:912 d:s ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:49.46 aq:51.00 tex:15 mv:16 misc:137 imb:0 pmb:2 smb:918 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:49.44 aq:48.94 tex:1416 mv:1967 misc:825 imb:75 pmb:179 smb:666 d:s ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:49.95 aq:50.14 tex:163 mv:284 misc:321 imb:1 pmb:30 smb:889 d:t ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:50.21 aq:50.56 tex:29 mv:36 misc:159 imb:0 pmb:5 smb:915 d:s ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:49.70 aq:50.56 tex:49 mv:13 misc:154 imb:0 pmb:4 smb:916 d:- ref:0 ;
in:18 out:17 type:P dur:2 cpbdur:2 q:46.87 aq:49.11 tex:1122 mv:1468 misc:770 imb:45 pmb:160 smb:715 d:s ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:48.16 aq:51.00 tex:53 mv:45 misc:198 imb:0 pmb:10 smb:910 d:t ref:0 ;
in:19 out:19 type:i dur:2 cpbdur:2 q:45.25 aq:39.39 tex:24827 mv:12210 misc:115 imb:920 pmb:0 smb:0 d:s ref:;
in:23 out:20 type:P dur:2 cpbdur:2 q:46.39 aq:40.50 tex:4821 mv:3075 misc:856 imb:116 pmb:236 smb:568 d:s ref:0 ;
in:21 out:21 type:B dur:2 cpbdur:2 q:46.39 aq:48.09 tex:728 mv:892 misc:532 imb:6 pmb:104 smb:810 d:t ref:0 ;
in:20 out:22 type:b dur:2 cpbdur:2 q:46.39 aq:50.01 tex:219 mv:298 misc:275 imb:1 pmb:36 smb:883 d:s ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:46.39 aq:49.64 tex:260 mv:248 misc:244 imb:2 pmb:28 smb:890 d:- ref:0 ;
in:27 out:24 type:P dur:2 cpbdur:2 q:44.91 aq:40.82 tex:7574 mv:3804 misc:854 imb:125 pmb:326 smb:469 d:s ref:0 ;
in:25 out:25 type:B dur:2 cpbdur:2 q:45.65 aq:45.18 tex:810 mv:959 misc:431 imb:7 pmb:98 smb:815 d:t ref:0 ;
in:24 out:26 type:b dur:2 cpbdur:2 q:46.02 aq:50.15 tex:384 mv:390 misc:306 imb:5 pmb:41 smb:874 d:s ref:0 ;
in:26 out:27 type:b dur:2 cpbdur:2 q:45.28 aq:43.02 tex:165 mv:266 misc:249 imb:2 pmb:24 smb:894 d:- ref:0 ;
in:31 out:28 type:P dur:2 cpbdur:2 q:46.41 aq:43.67 tex:3001 mv:2741 misc:858 imb:92 pmb:219 smb:609 d:s ref:0 ;
in:29 out:29 type:B dur:2 cpbdur:2 q:45.66 aq:47.02 tex:485 mv:745 misc:482 imb:9 pmb:83 smb:828 d:t ref:0 ;
